Name,Comment,Title
truongpham2402,"Đi siêu thị nhiều người mua có vài trăm ngàn, thậm chí chỉ có hơn 100.000đ cũng cà thẻ nữa. Mà điều đáng nói là nhiều trường hợp cái thẻ cà hoài chẳng nhận diện được, quẹt tới quẹt lui rồi kí tên, mất thời gian làm cho hàng dài người chờ đợi. Tôi gặp nhiều lần rồi, rất chán, trong khi đó có tiền mặt trả ngay và luôn, khỏi mất công làm phiền người khác phải chờ đợi.",Tiền mặt vẫn là vua? 
Truong Tran,Bất ngờ là phát triển như Nhật mà còn xài tiền mặt nhiều như vậy luôn.,Tiền mặt vẫn là vua? 
june19h,"Hô hào mà không có giải pháp thì chỉ là hô hào suông. Cần phải có giải pháp cụ thể mà bước đầu tiên là miễn cước 3G của tất cả các nhà mạng khi thực hiện giao dịch trên app tài chính, bước tiếp theo là khuyến khích các doanh nghiệp hỗ trợ giao dịch thanh toán không dùng tiền mặt bằng khuyến mãi kích cầu, triết khấu % chi phí khi thanh toán không dùng tiền mặt và bước 3 là đưa nội dung này vào giáo dục học đường.",Tiền mặt vẫn là vua? 
lienanhcvp,"Tôi vẫn dùng tiền mặt, kiểm soát đc chi tiêu. Cứ quẹt thẻ, rồi ko biết tiền đâu hết.",Tiền mặt vẫn là vua? 
Gió,"Một số NH lớn vẫn còn tình trạng hết giờ hành chính là nghỉ giao dịch làm lỡ bao việc, tiền của khách để trong tài khoản không lấy lãi ngân hàng thì thôi đằng này còn thu phí duy trì thẻ hàng tháng, phí rút tiền... thế cho nên nghĩ nó chán lắm, cứ găm tiền mặt trong ví cho lành",Tiền mặt vẫn là vua? 
Hung Nguyen Huu,Vì mất niềm tin ở ngân hàng,Tiền mặt vẫn là vua? 
quangdp,"Ở Hà nội, hầu hết mua sắm từ mớ rau, con cá đến những đồ lớn ở siêu thị điện máy đều thanh toán qua mã QR hay chuyển khoản. Nên trong ví tôi chỉ có khoảng vài trăm nghìn phòng trường hợp một số cửa hàng muốn nhận tiền mặt do ngân hàng áp phí cao thôi. Ở vùng quê có thể chưa quen với sử dụng no-cash.",Tiền mặt vẫn là vua? 
Phan Nguyễn Huy Việt,"cái nào tiện thì dùng, cứ phát triển đến 1 mức nào đó tự dưng tiền mặt ko còn tiện nữa thì tự người dân họ chuyển đổi. Áp KPI cho cái chuyển đổi này làm gì?",Tiền mặt vẫn là vua? 
vanminh174,"Rất hay nhưng vấn đề tiên quyết để sử dụng được là phải đồng bộ, chứ không phải lúc cần thì không quét được thông tin, vẫn yêu cầu dùng bản giấy.",Bắt đầu thí điểm cấp giấy khai sinh điện tử 
Vượng Vụng Về,Để QR code to trên rất xấu nên in ở dưới 1 góc thì sẽ gọn và đẹp hơn,Bắt đầu thí điểm cấp giấy khai sinh điện tử 
bhu adier,"Bản giấy song song bản điện theo email. Thế thì tốtQuên bản giấy ,có thể dùng email quét QR ",Bắt đầu thí điểm cấp giấy khai sinh điện tử 
Vương Diệp,Nếu ít thông tin thì nên dùng khổ giấy nhỏ hơn thay vì một văn bản toàn khoảng trống thế kia.,Bắt đầu thí điểm cấp giấy khai sinh điện tử 
honglamvnn,Rồi có thể sử dụng giấy khai sinh điện tử để đi máy bay chưa hay vẫn cầm giấy khai sinh theo?,Bắt đầu thí điểm cấp giấy khai sinh điện tử 
La Vị,Nếu được cấp bản sao online thì hay quá,Bắt đầu thí điểm cấp giấy khai sinh điện tử 
30 chưa là tết,"Hiện nay chủ chương xóa bỏ sổ hộ khẩu, nhưng cty điện, nước lại đang bắt người dân nộp giấy xác nhận cư trú để làm định mức lại, và như trước đây còn dùng hộ khẩu thì chỉ cần nộp hộ khẩu photo là được, giờ phải lên công an để xác nhận cư trú, như vậy có phải phiền phức hay tiện lợi vậy mọi người. Cccd dùng chip thì nó thể hiện tất tần tật trên đó rồi chứ.",Bắt đầu thí điểm cấp giấy khai sinh điện tử 
Hong Quan,Giấy khai sinh nhưng lại không thể hiện ngày sinh trên giấy?,Bắt đầu thí điểm cấp giấy khai sinh điện tử 
phle693,"Thay vì thí điểm sao k làm một lần cả 2, thay đổi từ từ. Cung cấp bản giấy như lúc trước và kèm thêm bản điện tử. Sẽ thuận tiện hơn cho người dân khi sử dụng, hoặc lỡ có chưa đồng bộ được thì sẽ không gây khó khăn, phiền hà cho người dân như tình trạng sổ hộ khẩu hiện tại.",Bắt đầu thí điểm cấp giấy khai sinh điện tử 
Mr Hoen,"Hiển thị quá ít thông tin. Trường hợp đơn giản như cho con đi học, giáo viên cứ phải cầm cái điện thoại để quét từng em lấy thông tin chi tiết thì quá khổ.",Bắt đầu thí điểm cấp giấy khai sinh điện tử 
Lui,cái QR code để ở giữa không đẹp,Bắt đầu thí điểm cấp giấy khai sinh điện tử 
buithaioffshore1980,"Rất hay, bây giờ trong gia đình Rất nhiều loại giấy tờ phải lưu giữ, nên công nghệ số ra đời thì nên tích hợp vào một app nào đó thuộc bộ thông tin hoặc bộ công an quản lý để dần xoá bỏ những giấy tờ lưu giữ của truyền thống lâu nay. Tôi hy vọng giấy chứng nhận quyền sử dụng đất cũng được lưu giữ bởi công nghệ số. Cảm ơn các bộ ngành đã và đang ngày càng cải thiện thủ tục hành chính một tốt hơn. Chúc tất cả thành công ️",Bắt đầu thí điểm cấp giấy khai sinh điện tử 
Hạnh Bùi,"Nếu nền là bê tông thì xe tải chạy lên cũng không vỡ đá lát được, nhà mình lát gạch vỉa hè thôi nhưng nền bê tông xe tải 2 tấn chở vật liệu ra vào nhiều năm chưa vỡ",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
annv.group02,"hỏng trước bảo hành thì làm lại, sao cần giám sát?",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
sonham123,"Nếu coi việc duy tu bảo dưỡng vỉa hè là việc thường xuyên thì nên chọn những vật liệu tái chế, hoặc những vật liệu sẵn có như gạch , bê tông. ",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Mẹ Đốp,"Ô tô, xe máy cứ lao ầm ầm thì đá nào cũng nứt",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
hoangkhanhlg,"Chẳng có nguyên nhân nào ngoài việc thi công ẩu, làm nền không tốt thì vật liệu gì cũng bị vỡ thôi. Đặc thù lát gạch đá thì khi 1 viên đã vỡ thì kéo theo hàng loạt viên khác vì mất kết cấu.",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
vothuyettham,Chất lượng công trình: Chuyện nói hoài nói mãi vẫn không có hồi kết.,Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
hoanganh.auto3s,quan trọng nhất vẫn là chất lượng thi công,Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Người Dân Việt,"Vỉa hè thì nên dùng loại gạch bê tông có lổ là tốt nhất, vì nước mưa sẽ được thấm thấu xuống phía dưới, giúp cây xanh vỉa hè có nước, giúp tăng thêm dự trữ nước ngầm,...Và đặc biệt là chi phí rẻ.",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
q.tran,"khổ nhất là vỉa hè cũ thì không sao, từ ngày làm vỉa hè mới, xe máy lao lên vỉa hè để vào các shop house thì ngã chổng vó do vật liệu trơn trượt. Nhiều người lấy lí do để chống xe lao lên vỉa hè, như vậy ko thoả đáng.  ",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Một người Việt,Lát gạch con sâu hoặc các loại gạch chống trơn trượt để dân nhờ. Đá nhìn thì đẹp nhưng thử mưa hay đô thị tưới cây thì thấy cảnh trơn trượt thế nào.,Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
hsd hdg,"Tại sao nhiều chung cư , trung tâm thương mại vẫn lát đá này xe cũng lưu thông liên tục mà không hỏng ? ",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
levansy28890,"đổ nhựa hết là xong, sao cứ phải lát đá???",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Nghiaphoto,"Quá nhiều tuyến đường vỉa hè bị chiếm dụng thành bãi đỗ xe, đá nào chịu nổi",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
lehongtuyen83,Thấy gạch Block tự lèn xấu mà lợi biết bao nhiêu với đặc thù hạ tầng của tất cả tỉnh thành VN.,Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
hungsu1987,"Tôi thấy có 2 nguyên nhân lớn nhất đó là lớp cát và ximang lót bên dưới quá mỏng, trong đó có thể ximang it nên ko có độ kết dính. Thứ 2 là phương tiện giao thông đi lên vỉa hè làm hỏng.",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
dao xuan uoc dao,"Đá khai thác bằng cách nổ mìn để tách khối nên bị rạn ngầm, khi xẻ mỏng lát vỉa hè một thời gian là vỡ thôi.",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
TRUNG AN TRAN,"Với khí hậu của Việt Nam mình nắng mưa thất thường, đang nắng mà đổ mưa xuống thì đá tự nhiên cắt lát nó rất dễ nứt vở. Rồi Ông thi công thì làm nền trước khi lát gạch, dễ sụt lún gặp thói quen của người dân thì hay đi xe lên vỉa hè thì sẽ bị cấn bể là đương nhiên. Những bất lợi như trên thì theo tôi nên lót gạch con sâu là tốt nhất, định kỳ cho người đi thay thế những viên vỡ.",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Mouka,"Cứ đổ bê tông cho nhanh, vừa bền vừa sạch. Đá này đá nọ chỉ gây tốn kém .",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Bất Bình,"Tôi chỉ thắc mắc, tại sao Hà Nội lại phải lát vỉa hè bằng đá tự nhiên, chi phí thì đắt đỏ, ảnh hưởng đến môi trường? Sao không lát bằng các loại gạch, đá nhân tạo có thể khẳng định là đẹp hơn, mẫu mã đa dạng, giá thành phù hợp hơn?",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Hà Thái,"Bản thân 1 viên đá tự nhiên rất cứng, bền theo thời gian, tuy nhiên nó phải được lát và sử dụng theo đúng quy chuẩn; Mặc dù cứng, nhưng nó không phải là một khối đã lớn, mà đã được cắt mòng, xếp liền nhau, khoảng cách giữa 2 viên và cả bên dưới chỉ là vữa, không chịu được lực lớn tác động, vậy nên khi có ô tô đi vào, vừa là sức nặng của xe, vừa tác động ma sát của lực bánh xe di chuyển thì đá nào chịu được ???",Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Võ Trần Quý,Gạch con sâu vẫn là chân ái.,Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
le binh,Cơ bản là làm cốt ẩu. Vài trận mưa là đã lún. Vỡ gạch là tất yếu,Hà Nội nêu bốn nguyên nhân đá vỉa hè nứt vỡ 
Bá Tài,Khu vực đang giao tranh ác liệt thì dân nào ở trong đấy?,Nga tố Ukraine đánh sập 4 chung cư khi rút khỏi ngoại ô Bakhmut 
vuduydinh.nd,không đụng đến dân thường vì bất kì lý do gì,Nga tố Ukraine đánh sập 4 chung cư khi rút khỏi ngoại ô Bakhmut 
patricio10101006439,Phản đối đánh vào dân thường,Nga tố Ukraine đánh sập 4 chung cư khi rút khỏi ngoại ô Bakhmut 
Quyền Nguyễn,Chỉ có 23km mà làm 4 năm rồi chưa xong !,Đường vành đai qua Long An thông xe 12 km dịp 30/4 
Ý Tưởng Quang,"Chúc mừng bà con Tân An. Có điều nói đường này giúp kết nối đông nam bộ thì hơi quá, nó xa các tỉnh miền đông lắm.",Đường vành đai qua Long An thông xe 12 km dịp 30/4 
shenchichichi,"Phương Tây vẫn đang kêu gào khi Nga đặt VKHN chiến thuật ở quốc gia đồng minh Belarus, mặc khác vẫn ủng hộ đồng minh tự nguyện để Mỹ đặt VKHN trong lãnh thổ của mình.Tiêu chuẩn siêu siêu kép !",Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
jsbc12,"Nếu không có Nga và Trung Quốc làm đối trọng, Mỹ và đồng minh sẽ nắm toàn quyền Thế giới.",Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
thanghn104,"Đầu tiên là khí đốt, mùa đông, rồi dầu mỏ, giờ đến lá bài cuối: Vũ khí hạt nhân.",Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
Nguyễn Lâm,nato muốn kéo dài cuộc chiến để làm kinh tế nga suy yếu lâu dài,Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
HT (king.pacific74),"Nói gì là nói khuyên cả 2 bên không nên dùng vũ khí hạt nhân, nếu bên nào dùng thì đó là tội ác rất lớn đối với nhân loại !",Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
manhthienvt,hòa bình cho Ukraine!,Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
Đăng Khoa,Hoà bình cho Ukraine,Thông điệp răn đe hạt nhân của Nga trước sức ép từ phương Tây 
sonphuockhanh2015,Đọc bài viết nổi hết da gà,54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
nghia9a,"Em họ tôi về VN mất đến 40tr, cô tôi bay về đợt sau mất gần 60 triệu lại còn thêm 1tr/ngày tiền cách ly tại khách sạn.",54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
Linh Linh,Thật là khủng khiếp.  Phải phạt nghiêm để răn đe.,54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
chungpham99109,Mong pháp luật trừng trị nghiêm minh,54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
Vũ Công Thắng,Đọc con số sợ quá.,54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
Hoàng Sơn,"Giữa lúc dịch bệnh, người dân đã quá khổ rồi.",54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
thinn9957,Tui đang hóng và dự đoán xem các mức án nào ,54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
cshirong2,"40 triệu từ đài loan về, chưa kể phát sinh....",54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
ntham.neu,Thế xin hỏi những người bay về nước bị chịu chi phí cả gần trăm triệu đó có được đền bù lại không?,54 người trong vụ 'chuyến bay giải cứu' bị truy tố 
Cuộc sống mà,"Không biết nói gì.Nhưng thật sự người dân tp HCM và các khu lân cận thiếu nơi hoà mình với thiên nhiên mà giá tương đối mềm, khoảng cách vận chuyển gần, quỹ thời gian không nhiều",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
giabinhist,"Nên nghiên cứu đồ án phát triển, cho thuê đất, thu thuế phí phục vụ cho đội công tác vệ sinh môi trường chung. Sử dụng thiên nhiên để làm ăn phát triển thì đi đôi với việc giữ gìn. Có cung thì có cầu thôi. điểm du lịch gần TP HCM như Trị An là đang hiếm hoi.",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
Dương Văn Tuấn,"Dân làm không phép. Ai sai cứ mạnh tay cưỡng chế tháo dỡ. Điều xe múc, xe xúc đền công trình là pháp luật sẽ thực hiện nghiêm. ",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
xephankhoilon400,"Hoan nghênh, cần xử lý mạnh dứt điểm trả lại môi trường tự nhiên và trong sạch cho nguồn nước Đồng Nai, Bình Dương và tp HCM",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
Người Dân Việt,Kiên quyết làm mạnh tay vào.,Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
huynhaustria,"Nếu đã có nhu cầu, sao tỉnh không quy hoạch và hợp tác doanh nghiệp để khai thác? Còn nếu đó là vùng cấm thì phải làm nghiêm và người dân cũng không được phép tiếp cận.",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
vanchuyenjapan,"du lịch là ngành công nghiệp không khói, Trị An quá tuyệt vời để phát triển ngành công nghệp này! hy vọng chính quyền có những chính sách chủ trương để chỉ đạo và hướng dẫn bà con làm đúng và bền vững. Tôi đã từng đi ở đây, thiên nhiên quá đẹp, còn hoang sơ, bà con ở đây thì còn khó khăn lắm. nếu phát triển được du lịch thì mới mong đưa được đời sống bà con đi lên được",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
Lanh Chanh,"Trái phép, không đảm bảo an toàn, cảnh quan nên tháo dỡ, nhưng sau đó huyện Vĩnh cửu nên triển khai phát triển du lịch tại đây, nhu cầu của người dân là có tại sao không tận dụng tạo công ăn việc làm cho dân ",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
buivansang2013,"Chẳng có gì khó khăn, xây dựng không có phép cưỡng chế phải làm mạnh tay ",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
thinn9957,"nên phát hiện sớm và giải tỏa ngay ,chứ đừng để tới lúc thành nhà nghỉ ,khách san rồi mới phát hiện như rất nhiều trường hợp đã xảy ra .",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
duongpv,"năm ngoái đã 02 lần đi camping ở đây, bọn nhóc chơi rất vui, thoải mái.",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
tranductuan123,"Cần quy hoạch để người dân có thêm nhiều chỗ để đi nghỉ dưỡng, tận hưởng không khí thiên nhiên.Phá bỏ thì dễ. Xây dựng để mọi người đều win-win mới quan trọng. Người làm du lịch có tiền, khách du lịch có chỗ để vui chơi, chính quyền thu được thuế. Tiếp cận góc nhìn như vậy mới phát triển được.",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
npt3591,"ủng hộ mạnh tay, kinh doanh mà ngày càng ngập rác, mất vệ sinh, ô nhiễm môi trường thì không khuyến khích",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
Ác mộng Cô Pa pa pa,Đi sâu vào bìa rừng gần trạm kiểm lâm còn có cả hồ bơi sát bờ hồ.Không biết có ai thấy chưa?,Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
DoNgocVan,"Tôi ủng hộ việc chính quyền địa phương cưỡng chế người dân lấn chiếm hành lang,lòng hồ làm du lịch tự phát làm mất vệ sinh nguồn nước, hãy bảo vệ nguồn nước quý giá mà thiên nhiên ban tặng cho người dân Đồng Nai và TPHCM.",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
Rain Autumn,"Nhu cầu cần thiết, cho khai thác du lịch nhưng đảm bảo an toàn  chứ ôm khư khư như Đà Lạt, rồi nát be nát bét, không ra cái gì cả :D",Cưỡng chế các điểm du lịch trái phép ở hồ Trị An 
nguyenvp,"Quảng Ninh đang làm rất tốt, nếu ai từng đến QN làm việc đều có thể cảm nhận được chất lượng phục vụ của các cơ quan chức năng, chưa kể hạ tầng ở đây cũng phát triển vượt bậc so với các tỉnh thành khác. xin chúc mừng Quảng Ninh",Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 
khanhnh70,Quảng Ninh luôn là số 1!!!,Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 
Phạm An,"Tới Quảng Ninh phải thấy là quy hoạch tốt. Ở Hạ Long dù người ít nhưng đường mở rất lớn, dân cư thì thậm chí làm cả đường gom.",Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 
haothao1009,QNinh nơi đáng sống,Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 
Bắp rang bơ,ồ yên bái cũng được nhóm b à,Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 
Nguyễn Anh Tuấn,Mình ở Sài Gòn nhưng cảm nhận về Quãng Ninh về hạ tầng cũng như thủ tục hành chính quá tốt. QN số 2 không ai nhận số 1 đâu.,Quảng Ninh dẫn đầu về cải cách hành chính năm 2022 
